KeyValuePair`2;KeyValuePair`2.key;KeyValuePair`2.value;KeyValuePair`2.Key;KeyValuePair`2.Value
"[1206, Имя проекта должно начинаться с буквы A-Z, a - z]";1206;"Имя проекта должно начинаться с буквы A-Z, a - z";1206;"Имя проекта должно начинаться с буквы A-Z, a - z"
"[1207, Имя проекта может содержать только буквы A-Z и a-z, цифры 0 - 9 и знак нижнего подчеркивания _]";1207;"Имя проекта может содержать только буквы A-Z и a-z, цифры 0 - 9 и знак нижнего подчеркивания _";1207;"Имя проекта может содержать только буквы A-Z и a-z, цифры 0 - 9 и знак нижнего подчеркивания _"
"[1208, Ключевое слово folder может быть объявлено только один раз]";1208;"Ключевое слово folder может быть объявлено только один раз";1208;"Ключевое слово folder может быть объявлено только один раз"
"[1209, Ключевое слово folder нельзя использовать в файлах модулей]";1209;"Ключевое слово folder нельзя использовать в файлах модулей";1209;"Ключевое слово folder нельзя использовать в файлах модулей"
"[1210, Ключевое слово folder должно быть до начала основного кода]";1210;"Ключевое слово folder должно быть до начала основного кода";1210;"Ключевое слово folder должно быть до начала основного кода"
"[1301, Метод не найден]";1301;"Метод не найден";1301;"Метод не найден"
"[1302, В вызове метода лишние скобки]";1302;"В вызове метода лишние скобки";1302;"В вызове метода лишние скобки"
"[1303, В вызове метода отсутствуют скобки]";1303;"В вызове метода отсутствуют скобки";1303;"В вызове метода отсутствуют скобки"
"[1304, Неверное количество параметров]";1304;"Неверное количество параметров";1304;"Неверное количество параметров"
"[1305, Переменной не присвоено значение]";1305;"Переменной не присвоено значение";1305;"Переменной не присвоено значение"
"[1306, Метод в качестве параметра не возвращает значений]";1306;"Метод в качестве параметра не возвращает значений";1306;"Метод в качестве параметра не возвращает значений"
"[1307, Неверный тип параметра]";1307;"Неверный тип параметра";1307;"Неверный тип параметра"
"[1308, Неверное количество параметров, либо отсутствует математический оператор]";1308;"Неверное количество параметров, либо отсутствует математический оператор";1308;"Неверное количество параметров, либо отсутствует математический оператор"
"[1309, Недопустимый математический оператор]";1309;"Недопустимый математический оператор";1309;"Недопустимый математический оператор"
"[1310, Разные типы данных]";1310;"Разные типы данных";1310;"Разные типы данных"
"[1311, Лишние математические операторы]";1311;"Лишние математические операторы";1311;"Лишние математические операторы"
"[1312, Отсутствует параметр]";1312;"Отсутствует параметр";1312;"Отсутствует параметр"
"[1313, Метод не возвращает значений]";1313;"Метод не возвращает значений";1313;"Метод не возвращает значений"
"[1314, Неправильное определение метода]";1314;"Неправильное определение метода";1314;"Неправильное определение метода"
"[1401, Неправильное определение переменной]";1401;"Неправильное определение переменной";1401;"Неправильное определение переменной"
"[1402, Отсутствует имя переменной]";1402;"Отсутствует имя переменной";1402;"Отсутствует имя переменной"
"[1403, В определении переменной недопустимые математические опрераторы]";1403;"В определении переменной недопустимые математические опрераторы";1403;"В определении переменной недопустимые математические опрераторы"
"[1404, В определении переменной недопустимые выражения]";1404;"В определении переменной недопустимые выражения";1404;"В определении переменной недопустимые выражения"
"[1405, Переменная не определена]";1405;"Переменная не определена";1405;"Переменная не определена"
"[1406, Переменная не инициализирована]";1406;"Переменная не инициализирована";1406;"Переменная не инициализирована"
"[1407, Переменная имеет другой тип]";1407;"Переменная имеет другой тип";1407;"Переменная имеет другой тип"
"[1408, После математического оператора ожидается какой-либо операнд (переменная, число, метод)]";1408;"После математического оператора ожидается какой-либо операнд (переменная, число, метод)";1408;"После математического оператора ожидается какой-либо операнд (переменная, число, метод)"
"[1409, Перед математическим оператором ожидается какой-либо операнд (переменная, число, метод)]";1409;"Перед математическим оператором ожидается какой-либо операнд (переменная, число, метод)";1409;"Перед математическим оператором ожидается какой-либо операнд (переменная, число, метод)"
"[1410, После определения имени переменной отсутствует знак =]";1410;"После определения имени переменной отсутствует знак =";1410;"После определения имени переменной отсутствует знак ="
"[1411, После знака = должно быть выражение]";1411;"После знака = должно быть выражение";1411;"После знака = должно быть выражение"
"[1412, Математическое действие ++ можно применять только к числовым переменным]";1412;"Математическое действие ++ можно применять только к числовым переменным";1412;"Математическое действие ++ можно применять только к числовым переменным"
"[1413, Математическое действие -- можно применять только к числовым переменным]";1413;"Математическое действие -- можно применять только к числовым переменным";1413;"Математическое действие -- можно применять только к числовым переменным"
"[1414, В строке недопустимые выражения]";1414;"В строке недопустимые выражения";1414;"В строке недопустимые выражения"
"[1415, В переменную, со знаком минус можно записать только число]";1415;"В переменную, со знаком минус можно записать только число";1415;"В переменную, со знаком минус можно записать только число"
"[1416, Перед следующим операндом ожидается математический оператор]";1416;"Перед следующим операндом ожидается математический оператор";1416;"Перед следующим операндом ожидается математический оператор"
"[1417, Строки допустимо складывать только через оператор +]";1417;"Строки допустимо складывать только через оператор +";1417;"Строки допустимо складывать только через оператор +"
"[1418, Математические операции над масствами недопустимы]";1418;"Математические операции над масствами недопустимы";1418;"Математические операции над масствами недопустимы"
"[1419, Для индексации массива могут использоваться только целые числа]";1419;"Для индексации массива могут использоваться только целые числа";1419;"Для индексации массива могут использоваться только целые числа"
"[1420, Для индексации массива могут использоваться только числа]";1420;"Для индексации массива могут использоваться только числа";1420;"Для индексации массива могут использоваться только числа"
"[1421, Данное математическое действие нельзя применять к массивам]";1421;"Данное математическое действие нельзя применять к массивам";1421;"Данное математическое действие нельзя применять к массивам"
"[1422, Число индкса массива должно быть целым (без дробной части)]";1422;"Число индкса массива должно быть целым (без дробной части)";1422;"Число индкса массива должно быть целым (без дробной части)"
"[1423, Для индекса массива можно использовать переменные содержащие только целые числа]";1423;"Для индекса массива можно использовать переменные содержащие только целые числа";1423;"Для индекса массива можно использовать переменные содержащие только целые числа"
"[1424, Для индекса массива можно использовать метод который возвращает число]";1424;"Для индекса массива можно использовать метод который возвращает число";1424;"Для индекса массива можно использовать метод который возвращает число"
"[1425, В элемент массива нельзя записать другой массив]";1425;"В элемент массива нельзя записать другой массив";1425;"В элемент массива нельзя записать другой массив"
"[1426, Между математическими операторами ожидается какой-либо операнд (переменная, число, метод)]";1426;"Между математическими операторами ожидается какой-либо операнд (переменная, число, метод)";1426;"Между математическими операторами ожидается какой-либо операнд (переменная, число, метод)"
"[1427, В индексе массива недопустимые значения]";1427;"В индексе массива недопустимые значения";1427;"В индексе массива недопустимые значения"
"[1428, С опрераторами +=, -=, *=, /=, могут использоваться только методы возвращающие числа, или строки]";1428;"С опрераторами +=, -=, *=, /=, могут использоваться только методы возвращающие числа, или строки";1428;"С опрераторами +=, -=, *=, /=, могут использоваться только методы возвращающие числа, или строки"
"[1501, Ключевое слово global нельзя использовать в файлах модулей]";1501;"Ключевое слово global нельзя использовать в файлах модулей";1501;"Ключевое слово global нельзя использовать в файлах модулей"
"[1502, Глобальные переменные нельхя определять в теле процедуры]";1502;"Глобальные переменные нельхя определять в теле процедуры";1502;"Глобальные переменные нельхя определять в теле процедуры"
"[1503, Глобальные переменные должны определяться до начала основного кода]";1503;"Глобальные переменные должны определяться до начала основного кода";1503;"Глобальные переменные должны определяться до начала основного кода"
"[1601, Неверное определение процедуры]";1601;"Неверное определение процедуры";1601;"Неверное определение процедуры"
"[1602, В определении процедуры должно быть ключевое слово Sub и имя процедуры]";1602;"В определении процедуры должно быть ключевое слово Sub и имя процедуры";1602;"В определении процедуры должно быть ключевое слово Sub и имя процедуры"
"[1603, В определении процедуры отсутствует имя процедуры]";1603;"В определении процедуры отсутствует имя процедуры";1603;"В определении процедуры отсутствует имя процедуры"
"[1604, В определении процедуры недопустимые ключевые слова]";1604;"В определении процедуры недопустимые ключевые слова";1604;"В определении процедуры недопустимые ключевые слова"
"[1605, В определении процедуры недопустимые выражения]";1605;"В определении процедуры недопустимые выражения";1605;"В определении процедуры недопустимые выражения"
"[1606, Процедура не найдена]";1606;"Процедура не найдена";1606;"Процедура не найдена"
"[1607, Процедура с таким именем уже определена]";1607;"Процедура с таким именем уже определена";1607;"Процедура с таким именем уже определена"
"[1701, Неверный синтаксис вызова процедуры из модуля]";1701;"Неверный синтаксис вызова процедуры из модуля";1701;"Неверный синтаксис вызова процедуры из модуля"
"[1702, В вызове процедуры отсутствуют скобки]";1702;"В вызове процедуры отсутствуют скобки";1702;"В вызове процедуры отсутствуют скобки"
"[1703, В параметрах вызова процедуры ошибка]";1703;"В параметрах вызова процедуры ошибка";1703;"В параметрах вызова процедуры ошибка"
"[1704, В параметрах вызова процедуры несколько запятых подряд]";1704;"В параметрах вызова процедуры несколько запятых подряд";1704;"В параметрах вызова процедуры несколько запятых подряд"
"[1705, В параметрах вызова процедуры недопустимые выражения]";1705;"В параметрах вызова процедуры недопустимые выражения";1705;"В параметрах вызова процедуры недопустимые выражения"
"[1706, В параметрах вызова процедуры недопустимые математические опрераторы]";1706;"В параметрах вызова процедуры недопустимые математические опрераторы";1706;"В параметрах вызова процедуры недопустимые математические опрераторы"
"[1707, В вызове процедуры после запятой отсутствует параметр]";1707;"В вызове процедуры после запятой отсутствует параметр";1707;"В вызове процедуры после запятой отсутствует параметр"
"[1708, Модуль не найден]";1708;"Модуль не найден";1708;"Модуль не найден"
